Artist,Title,Year,Album,Validated
Narnia,Living Water,1998,Long Live the King,True
Nevermore,Believe in Nothing,2000,Dead Heart In a Dead World,True
Nevermore,The Heart Collector,2000,Dead Heart In a Dead World,True
Nocturnal Rites,Still Alive,2006,Grand Illusion,True
Paul Gilbert,Down to Mexico,1998,Flying Dog,True
Paul Gilbert,Fuzz Universe,2010,Fuzz Universe,True
Power Quest,Cemetery Gates,2008,Master of Illusion,True
Power Quest,Now Is the Time,2022,Now Is the Time,True
Racer X,Scarified,1987,Second Heat,True
Racer X,Technical Difficulties,1999,Technical Difficulties,True
Reb Beach,Black Magic (2020),2020,A View from the Inside,True
Ron Jarzombek,Strike That,2023,"Apps, Writing Systems and Remakes",True
Ron Jarzombek,Frenetically Inconsistent Velocities Entwined,2023,"Apps, Writing Systems and Remakes",True
Royal Hunt,Half Past Loneliness,2011,Show Me How to Live,True
Shawn Lane,The Way It Has to Be,2019,The Tri-Tone Fascination (20th Anniversary Edition),True
Shawn Lane,Tri-7\5,2019,The Tri-Tone Fascination (20th Anniversary Edition),True
Space Odyssey,Despair and Pain,2003,Embrace the Galaxy,True
Steve Stevens,Atomic Playboys,1989,Atomic Playboys,True
The Great Kat,Metal Messiah,1987,Worship Me Or Die!,True
Time Requiem,Brutal Mentor,2002,Time Requiem,True
Time Requiem,Grand Opus,2002,Time Requiem,True
Timo Tolkki’s Avalon,Enshrined in My Memory,2013,The Land of New Hope,True
Timo Tolkki’s Avalon,I'll Sing You Home,2013,The Land of New Hope,True
Tony MacAlpine,Death of Roses,2017,Death of Roses,True
Tony MacAlpine,Chrome Castles,2017,Death of Roses,True
Trans-Siberian Orchestra,Requiem (The Fifth),2000,Beethoven's Last Night,True
Turilli / Lione Rhapsody,D.N.A. - Demon and Angel,2019,Zero Gravity (Rebirth and Evolution),True
Turilli / Lione Rhapsody,Phoenix Rising,2019,Zero Gravity (Rebirth and Evolution),True
Uli Jon Roth,Beethoven Paraphrase,2000,"Transcendental Sky Guitar: the Phoenix & the Dragon, Vol. 1 & 2",True
Uli Jon Roth,The Sails of Charon,2014,Scorpions Revisited,True
Vinnie Moore,Lifeforce,1986,Mind's Eye,True
Vinnie Moore,The Maze,1999,The Maze,True
Virtuocity,Eye for an Eye,2002,Secret Visions,True
Vision Divine,La Vita Fugge - Chapter VI,2004,Stream of Consciousness,True
Vision Divine,Angel of Revenge,2018,Angel of Revenge,True
Vitalij Kuprij,Opus 1 (Theme by Paganini),1997,High Definition,True
Vitalij Kuprij,Chopin Etude #11 in a Minor Opus 25,1998,Extreme Measures,True
Warmen,Somebody's Watching Me,2005,Accept The Fact,True
Warmen,Warmen Are Here For None,2023,Here For None,True
Yngwie Malmsteen,Rising Force,1988,Odyssey,True
Yngwie Malmsteen,Far Beyond The Sun,1992,Yngwie J. Malmsteen's Rising Force,True
Alcatrazz,Transylvanian Requiem,2025,Prior Convictions,True
Ayreon,Loser,2026,Loser,True
Chris Poland,Black Flame,2026,Black Flame,True
Chris Poland,Dice And Thunder,2026,Dice And Thunder,True
Chris Poland,Electric Burn,2026,Electric Burn,True
Lars Eric Mattsson,The Enemy We Face,2025,The Enemy We Face,True
Lars Eric Mattsson,Warriors,2025,Warriors,True
The Great Kat,Beethoven's 666th,2026,Beethoven's 666th,True
The Great Kat,FATE,2026,FATE,True
The Great Kat,Wagner's The Ring Siegfried Idyll Siegfried,2026,Wagner's The Ring Siegfried Idyll Siegfried,True
The Great Kat,Beethoven’s 666th,2026,Death Metal Beethoven's 666th,True
Narnia,Agua Viva,2025,Agua Viva,True
Paul Gilbert,If You Soak Bread in the Sauce,2026,WROC,True
Narnia,Xeno Burst (feat. Nadav Bar),2025,Ultra Mode 3,True
Paul Gilbert,Show Not Yourself Glad (At the Misfortune of Another),2026,WROC,True
Lars Eric Mattsson,Fire's Burning,2026,Fire's Burning,True
The Great Kat,Strauss' Perpetuum Mobile A Musical Joke,2026,Strauss' Perpetuum Mobile A Musical Joke,True
The Great Kat,Bringing In The Sheaves,2026,Bringing In The Sheaves,True
The Great Kat,Brahms' Hungarian Dance,2026,Brahms' Hungarian Dance,True
Dark Moor,Una Música En Mi Ser,2026,Una Música En Mi Ser,True
The Great Kat,National Emblem March,2026,4th Of July USA 250,True
Paul Gilbert,Keep Your Feet Firm and Even,2026,WROC,True
Heavenly,Scene Stealing,2026,Highway To Heavenly,True
Lars Eric Mattsson,Everything,2026,Everything,True
Paul Gilbert,Conscience is the Most Certain Judge,2026,WROC,True
Ayreon,The Year of '41,2026,30th Anniversary - An Amazing Flight Through Time,True
Vision Divine,18 (It Feels like Heaven),2026,18 (It Feels like Heaven),True
