Artist,Title,Album,Year,Validated
Amorphis,Crowned In Crimson (From “Son of Revenge - The Story of Kalevala”),Crowned In Crimson (From “Son of Revenge - The Story of Kalevala”),2025,True
Andromeda,Take Me to The Low,Take Me to The Low,2025,True
Gladenfold,Mercy,Mercy,2025,True
Narnia,Agua Viva,Agua Viva,2025,True
Yrzen,Darkening Mind,Darkening Mind,2025,True
Alcatrazz,Paradox,Paradox,2025,True
ANGUS McSIX,I Am Adam McSix,I Am Adam McSix,2025,True
Power Paladin,Sword Vigor,Sword Vigor,2025,True
Universe,ARRECH-ON,ARRECH-ON,2025,True
Their Dogs Were Astronauts,Arrow,Arrow,2025,True
Krampus,Instant Emotion,Instant Emotion,2025,True
Northland,Home Videos,A Northland Christmas,2025,True
Krampus,Slaybell of damnation,Slaybell of damnation,2025,True
Atavistia,From The Ancient Stones (Reforged),The Winter Way (Reforged),2025,True
Visions of Atlantis,Pirates & Kings,Pirates & Kings,2025,True
Epica,Avatar - The Final Incarnation -,Avatar - The Final Incarnation -,2025,True
Soen,Discordia,Discordia,2025,True
Leaves' Eyes,Song Of Darkness,Song Of Darkness,2025,True
Universe,같은 하늘,같은 하늘,2025,True
Versengold,Krug voll Mondenschein,Krug voll Mondenschein,2025,True
TesseracT,Natural Disaster (RADAR O.S.T),RADAR O.S.T,2025,True
The Darkness,Mistletoe and Wine,Mistletoe and Wine,2025,True
Grimgotts,Sing for the Bard,Sing for the Bard,2025,True
Fist,Hurricane,Misery Hill,2025,True
Guns N' Roses,Nothin',Nothin',2025,True
Guns N' Roses,Atlas,Atlas,2025,True
Tytan,Monster,Monster,2025,True
Karnivool,Opal,Opal,2025,True
Tarja,Rohekassinised silmad,Rohekassinised silmad,2025,True
Mind Key,Chaos,Chaos,2025,True
Equilibrium,Earth Tongue,Equinox,2025,True
Iron Savior,Forever Young,Forever Young,2025,True
Yes,Overture (Instrumental),Fly From Here - Return Trip (Instrumental Edition),2025,True
Anthriel,Entwined,Entwined,2025,True
Girlschool,"Hit The Lights (feat. Joe Stump, Alcatrazz)","Hit The Lights (feat. Joe Stump, Alcatrazz)",2025,True
Inthraced,Neon Frontiers,Neon Frontiers,2025,True
Saltatio Mortis,Santa is a Viking,Santa is a Viking,2025,True
Fist,WAR ZONE,Hikikomori,2025,True
Tokyo Blade,Midnight Rendezvous (Midnight Rendezvous EP),"Beware The Blade: Classic, Rare & Unreleased 1983 - 2025",2025,True
Imperia,FINGER ON THE TRIGGER,FINGER ON THE TRIGGER,2025,True
Labyrinth,Hiphop Saved My Life,Hiphop Saved My Life,2025,True
Wolfchant,Goddess of Fire,Goddess of Fire,2025,True
White Spirit,Don't Stop,Don't Stop,2025,True
Airbourne,Christmas Bonus,Christmas Bonus,2025,True
Andromeda,I MUST APOLOGIZE,I MUST APOLOGIZE,2025,True
Their Dogs Were Astronauts,Centaur,Centaur,2025,True
Paul Gilbert,Go Not Thither,Go Not Thither,2025,True
Universe,Retribution,Retribution,2025,True
Suodeth,Indictment,Indictment,2025,True
Jason Richardson,A Ecuador Vamos,A Ecuador Vamos,2025,True
Cheap Trick,All Washed Up,All Washed Up,2025,True
Smokey Bastard,Orangina,Unreleased Curiosities,2025,True
Satan,The ILLUMINATI,The ILLUMINATI,2025,True
Tytan,Bad Company,Bad Company,2025,True
Victorius,Raptor Squad Attack,Raptor Squad Attack,2025,True
Flaming Row,Gandhara's Legacy,Keeper of the Scriptures (Hüterin Der Schriften),2025,True
