Artist,Title,Album,Year,Validated
Minor Threat,Straight Edge,Minor Threat,1981,True
Misfits,Last Caress,Beware,1980,True
Misfits,Where Eagles Dare,Night of the Living Dead,1979,True
Misfits,Hybrid Moments,Legacy of Brutality,1985,True
Misfits,"Die, Die My Darling","Die, Die My Darling",1984,True
The Stooges,I Wanna Be Your Dog,The Stooges,1969,True
Iggy and The Stooges,Search and Destroy,Raw Power,1973,True
MC5,Kick Out the Jams,Kick Out the Jams,1969,True
The Jam,In the City,In the City,1977,True
The Undertones,Teenage Kicks,Teenage Kicks,1978,True
The Ruts,Babylon's Burning,The Crack,1979,True
Stiff Little Fingers,Alternative Ulster,Inflammable Material,1978,True
Stiff Little Fingers,Suspect Device,Inflammable Material,1978,True
Sham 69,If the Kids Are United,If the Kids Are United,1978,True
Sham 69,Hurry Up Harry,That's Life,1978,True
X-Ray Spex,Oh Bondage! Up Yours!,Oh Bondage! Up Yours!,1977,True
The Stranglers,No More Heroes,No More Heroes,1977,True
The Adverts,Gary Gilmore's Eyes,Gary Gilmore's Eyes,1977,True
The Saints,(I'm) Stranded,(I'm) Stranded,1976,True
The Vibrators,Baby Baby,Pure Mania,1977,True
Dead Boys,Sonic Reducer,"Young, Loud and Snotty",1977,True
Germs,Lexicon Devil,(GI),1978,True
Wire,12XU,Pink Flag,1977,True
Hüsker Dü,Don't Want to Know If You Are Lonely,Candy Apple Grey,1986,True
The Replacements,Bastards of Young,Tim,1985,True
Fugazi,Waiting Room,Fugazi,1988,True
Bad Brains,Banned in D.C.,Bad Brains,1982,True
The Exploited,Sex & Violence,Punk's Not Dead,1981,True
Discharge,Hear Nothing See Nothing Say Nothing,Hear Nothing See Nothing Say Nothing,1982,True
GBH,City Baby Attacked by Rats,City Baby Attacked by Rats,1982,True
Descendents,Suburban Home,Milo Goes to College,1982,True
Descendents,I'm the One,Everything Sucks,1996,True
Bad Religion,21st Century (Digital Boy),Against the Grain,1990,True
Bad Religion,American Jesus,Recipe for Hate,1993,True
Bad Religion,Sorrow,The Process of Belief,2002,True
Bad Religion,Infected,Stranger Than Fiction,1994,True
NOFX,Linoleum,Punk in Drublic,1994,True
NOFX,Don't Call Me White,Punk in Drublic,1994,True
NOFX,The Separation of Church and Skate,The War on Errorism,2003,True
Rancid,Time Bomb,...And Out Come the Wolves,1995,True
Rancid,Ruby Soho,...And Out Come the Wolves,1995,True
Rancid,Roots Radicals,...And Out Come the Wolves,1994,True
Pennywise,Bro Hymn,Pennywise,1991,True
Pennywise,Fuck Authority,Land of the Free?,2001,True
Social Distortion,Story of My Life,Social Distortion,1990,True
Social Distortion,Ball and Chain,Social Distortion,1990,True
The Vandals,My Girlfriend's Dead,"Hitler Bad, Vandals Good",1998,True
Lagwagon,May 16,Let's Talk About Feelings,1998,True
Operation Ivy,Sound System,Energy,1989,True
Operation Ivy,Knowledge,Energy,1989,True
Green Day,Basket Case,Dookie,1994,True
Green Day,When I Come Around,Dookie,1994,True
Green Day,Welcome to Paradise,Kerplunk,1992,True
Green Day,Longview,Dookie,1994,True
Green Day,American Idiot,American Idiot,2004,True
The Offspring,Come Out and Play,Smash,1994,True
The Offspring,Self Esteem,Smash,1994,True
The Offspring,The Kids Aren't Alright,Americana,1998,True
blink-182,Dammit,Dude Ranch,1997,True
blink-182,All the Small Things,Enema of the State,1999,True
blink-182,What's My Age Again?,Enema of the State,1999,True
Sum 41,Fat Lip,All Killer No Filler,2001,True
Sum 41,In Too Deep,All Killer No Filler,2001,True
Sum 41,Still Waiting,Does This Look Infected?,2002,True
Good Charlotte,The Anthem,The Young and the Hopeless,2002,True
Simple Plan,I'm Just a Kid,"No Pads, No Helmets... Just Balls",2002,True
