Artist,Title,Year,Album,Validated
Limp Bizkit,Rollin' (Air Raid Vehicle),2000,Chocolate Starfish And The Hot Dog Flavored Water,True
Linkin Park,Bleed It Out,2007,Minutes to Midnight,True
Linkin Park,In the End,2001,Hybrid Theory,True
Linkin Park,Numb,2003,Meteora,True
Linkin Park,One Step Closer,2000,Hybrid Theory,True
Los Del Rio,Macarena (Bayside Boys Mix),1995,Fiesta Macarena,True
Lupe Fiasco,"Kick, Push",2006,Lupe Fiasco's Food & Liquor,True
M.I.A.,Paper Planes,2007,Kala,True
Mario,Let Me Love You,2004,Turning Point,True
Maroon 5,This Love,2004,Songs About Jane,True
Matchbox Twenty,3AM,1997,Yourself or Someone Like You,True
Metallica,King Nothing,1996,Load,True
Michael Jackson,Scream,1995,"HIStory - PAST, PRESENT AND FUTURE - BOOK I",True
Michelle Branch,Everywhere,2001,The Spirit Room,True
Missy Elliott,Get Ur Freak On,2001,Miss E... So Addictive,True
Missy Elliott,Work It,2002,Under Construction,True
Modest Mouse,Float On,2004,Good News For People Who Love Bad News,True
My Chemical Romance,I'm Not Okay (I Promise),2004,Three Cheers for Sweet Revenge,True
My Chemical Romance,Welcome to the Black Parade,2006,The Black Parade,True
Nelly,Country Grammar (Hot...),2000,Country Grammar,True
Nelly,Hot in Herre,2002,Nellyville,True
Nelly Furtado,I'm Like a Bird,2000,"Whoa, Nelly!",True
Nickelback,Photograph,2005,All the Right Reasons,True
No Doubt,Don't Speak,1996,Tragic Kingdom,True
No Doubt,Just a Girl,1995,Tragic Kingdom,True
NSYNC,Bye Bye Bye,2000,No Strings Attached,True
Oasis,Wonderwall,1995,(What's the Story) Morning Glory?,True
Outkast,B.O.B (Bombs Over Baghdad),2000,Stankonia,True
OutKast,Ms. Jackson,2000,Stankonia,True
P!nk,Get the Party Started,2001,M!ssundaztood,True
P!nk,Just Like a Pill,2002,M!ssundaztood,True
Panic! at the Disco,I Write Sins Not Tragedies,2006,A Fever You Can't Sweat Out,True
Papa Roach,Last Resort,2000,Infest,True
Paramore,Misery Business,2007,Riot!,True
Plain White T's,Hey There Delilah,2007,All That We Needed,True
Queens of the Stone Age,No One Knows,2002,Songs For The Deaf,True
Radiohead,Creep,1992,Pablo Honey,True
Radiohead,Paranoid Android,1997,OK Computer,True
Rage Against the Machine,Bulls on Parade,1996,Evil Empire,True
Red Hot Chili Peppers,Aeroplane,1995,One Hot Minute,True
Red Hot Chili Peppers,By the Way,2002,By the Way,True
Red Hot Chili Peppers,Californication,1999,Californication,True
Red Hot Chili Peppers,Dani California,2006,Stadium Arcadium,True
Ricky Martin,Livin' la Vida Loca,1999,Ricky Martin,True
Rihanna,Pon de Replay,2005,Music Of The Sun,True
Rihanna feat. Jay-Z,Umbrella,2007,Good Girl Gone Bad,True
Santana feat. Rob Thomas,Smooth,1999,Supernatural,True
Savage Garden,I Knew I Loved You,1999,Affirmation,True
Sean Paul,Get Busy,2003,Dutty Rock,True
Shaggy,It Wasn't Me,2000,Hot Shot,True
Shakira,"Whenever, Wherever",2001,Laundry Service,True
Shakira feat. Wyclef Jean,Hips Don't Lie,2006,"Oral Fixation, Vol. 2",True
Shania Twain,Man! I Feel Like a Woman!,1997,Come On Over,True
Simple Plan,Welcome to My Life,2004,Still Not Getting Any...,True
Sisqó,Thong Song,2000,Unleash The Dragon,True
Smash Mouth,All Star,1999,Astro Lounge,True
Smash Mouth,Walkin' on the Sun,1997,Fush Yu Mang,True
Snow Patrol,Chasing Cars,2006,Eyes Open,True
Soulja Boy Tell 'Em,Crank That (Soulja Boy),2007,souljaboytellem.com,True
Spice Girls,2 Become 1,1996,Spice,True
Spice Girls,Wannabe,1996,Spice,True
Sublime,What I Got,1996,Sublime,True
Sugar Ray,Fly,1997,Floored,True
Sum 41,Fat Lip,2001,"All Killer, No Filler",True
System of a Down,B.Y.O.B.,2005,Mezmerize,True
System of a Down,Chop Suey!,2001,Toxicity,True
The All-American Rejects,Move Along,2005,Move Along,True
The All-American Rejects,"Swing, Swing",2002,The All-American Rejects,True
The Black Eyed Peas,Let's Get It Started,2004,Elephunk,True
The Black Eyed Peas,My Humps,2005,Monkey Business,True
The Black Eyed Peas,Where Is the Love?,2003,Elephunk,True
The Goo Goo Dolls,Iris,1998,Dizzy up the Girl,True
The Killers,Mr. Brightside,2004,Hot Fuss,True
The Killers,When You Were Young,2006,Sam's Town,True
The Notorious B.I.G.,Mo Money Mo Problems,1997,Life After Death,True
The Offspring,Pretty Fly (for a White Guy),1998,Americana,True
The Prodigy,Firestarter,1996,The Fat of the Land,True
The Pussycat Dolls feat. Busta Rhymes,Don't Cha,2005,PCD,True
The Smashing Pumpkins,1979,1995,Mellon Collie And The Infinite Sadness,True
The Strokes,Last Nite,2001,Is This It,True
The Veronicas,Untouched,2007,Hook Me Up,True
The Verve,Bitter Sweet Symphony,1997,Urban Hymns,True
The Vines,Get Free,2002,Highly Evolved,True
The White Stripes,Fell in Love with a Girl,2001,White Blood Cells,True
The White Stripes,Seven Nation Army,2003,Elephant,True
Third Eye Blind,Semi-Charmed Life,1997,Third Eye Blind,True
Thirty Seconds to Mars,The Kill,2005,A Beautiful Lie,True
Timbaland feat. Keri Hilson & D.O.E.,The Way I Are,2007,Shock Value,True
TLC,No Scrubs,1999,Fanmail,True
TLC,Waterfalls,1995,Crazysexycool,True
Train,Drops of Jupiter (Tell Me),2001,Drops Of Jupiter,True
Travis,Why Does It Always Rain on Me?,1999,The Man Who,True
Usher,Yeah!,2004,Confessions,True
Usher feat. Lil Jon & Ludacris,Yeah!,2004,Confessions,True
Yellowcard,Ocean Avenue,2003,Ocean Avenue,True
